title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable landIce.mon.snw_tavg-u-hxy-lnd (LImon.snw),1261,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1261,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV,snw_tavg-u-hxy-lnd,surface_snow_amount,"""comment"" was ""The mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,Computed as the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excluded is snow on vegetation canopy or on sea ice.,longitude latitude time,mon,Surface Snow Amount,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",kg m-2,CMIP6 CMOR variable,"land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,"land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,kg m-2
Variable landIce.mon.snm_tavg-u-hxy-is (LImon.snmIs),1260,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1260,mon landIce CMIP6 UKESM1 HadGEM3-GC31,snm_tavg-u-hxy-is,surface_snow_melt_flux,"""comment"" was ""The total surface snow melt rate on the land portion of the grid cell divided by the land area in the grid cell; report as zero for snow-free land regions and missing where there is no land."";",area: areacella,area: time: mean where ice_sheet,Loss of snow mass resulting from surface melting. Computed as the surface melt water from snow on the ice sheet portion of the grid cell divided by the ice_sheet area in the grid cell; report as 0.0 for snow-free land_ice regions; report as missing where the land fraction is 0.,longitude latitude time,mon,Ice Sheet Surface Snow Melt,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,kg m-2 s-1
Variable landIce.mon.snm_tavg-u-hxy-lnd (LImon.snm),1259,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1259,mon landIce CMIP6 UKESM1 HadGEM3-GC31,snm_tavg-u-hxy-lnd,surface_snow_melt_flux,"""comment"" was ""The total surface snow melt rate on the land portion of the grid cell divided by the land area in the grid cell; report as zero for snow-free land regions and missing where there is no land.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,Computed as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as missing where the land fraction is 0.,longitude latitude time,mon,Surface Snow Melt,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i237[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,"land_class_mean(m01s08i237[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,kg m-2 s-1
Variable landIce.mon.snicem_tavg-u-hxy-is (LImon.snicemIs),1258,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1258,mon landIce CMIP6 UKESM1 HadGEM3-GC31,snicem_tavg-u-hxy-is,surface_snow_and_ice_melt_flux,"""comment"" was ""Loss of snow and ice mass resulting from surface melting. Computed as the total surface melt on the land ice portion of the grid cell divided by land ice area in the grid cell."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Snow and Ice Melt Flux,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,kg m-2 s-1
Variable landIce.mon.snrefr_tavg-u-hxy-is (LImon.snicefreezIs),1257,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1257,mon landIce CMIP6 UKESM1 HadGEM3-GC31,snrefr_tavg-u-hxy-is,surface_snow_and_ice_refreezing_flux,"""comment"" was ""Mass flux of surface meltwater which refreezes within the snowpack. Computed as the total refreezing on the land ice portion of the grid cell divided by land ice area in the grid cell."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Snow and Ice Refreeze Flux,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i580[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s08i580[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,kg m-2 s-1
Variable landIce.mon.snd_tavg-u-hxy-lnd (LImon.snd),1256,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1256,mon landIce CMIP6 UKESM1 HadGEM3-GC31,snd_tavg-u-hxy-lnd,surface_snow_thickness,"""comment"" was ""where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as 0.0 where the land fraction is 0.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,"where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as missing where the land fraction is 0.",longitude latitude time,mon,Snow Depth,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",m,CMIP6 CMOR variable,"land_class_mean(m01s08i376[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,"land_class_mean(m01s08i376[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,m
Variable landIce.mon.snc_tavg-u-hxy-is (LImon.sncIs),1255,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1255,mon landIce CMIP6,snc_tavg-u-hxy-is,surface_snow_area_fraction,"""comment"" was ""Percentage of each grid cell that is occupied by snow that rests on land portion of cell."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Snow Cover Percentage,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",%,CMIP6 CMOR variable,,,,,
Variable landIce.mon.sftgrf_tavg-u-hxy-u (LImon.sftgrf),1254,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1254,mon landIce CMIP6,sftgrf_tavg-u-hxy-u,grounded_ice_sheet_area_fraction,,area: areacella,area: time: mean,Percentage of grid cell covered by grounded ice sheet,longitude latitude time,mon,Grounded Ice Sheet Area Percentage,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",%,CMIP6 CMOR variable,,,,,
Variable landIce.mon.sftflf_tavg-u-hxy-u (LImon.sftflf),1252,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1252,mon landIce CMIP6,sftflf_tavg-u-hxy-u,floating_ice_shelf_area_fraction,,area: areacella,area: time: mean,"Percentage of grid cell covered by floating ice shelf, the component of the ice sheet that is flowing over sea water",longitude latitude time,mon,Floating Ice Shelf Area Percentage,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",%,CMIP6 CMOR variable,,,,,
Variable landIce.mon.sbl_tavg-u-hxy-is (LImon.sblIs),1251,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1251,mon landIce CMIP6 UKESM1 HadGEM3-GC31,sbl_tavg-u-hxy-is,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,"""comment"" was ""The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Snow and Ice Sublimation Flux,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,kg m-2 s-1
Variable landIce.mon.sbl_tavg-u-hxy-lnd (LImon.sbl),1250,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1250,mon landIce CMIP6 UKESM1 HadGEM3-GC31,sbl_tavg-u-hxy-lnd,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,"""comment"" was ""The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere."";",area: areacella,area: mean where land time: mean,The snow and ice sublimation flux is the loss of snow and ice mass resulting from their conversion to water vapor.  Computed as the total sublimation on the land portion of the grid cell divided by the land area in the grid cell; reported as missing for snow-free land regions; reported as missing where the land fraction is 0.,longitude latitude time,mon,Surface Snow and Ice Sublimation Flux,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,"land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,kg m-2 s-1
Variable landIce.mon.rsus_tavg-u-hxy-is (LImon.rsusIs),1249,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1249,mon landIce CMIP6,rsus_tavg-u-hxy-is,surface_upwelling_shortwave_flux_in_air,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. 'shortwave' means shortwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Upwelling Shortwave Radiation,landIce,up,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",W m-2,CMIP6 CMOR variable,,,,,
Variable landIce.mon.rsds_tavg-u-hxy-is (LImon.rsdsIs),1248,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1248,mon landIce CMIP6,rsds_tavg-u-hxy-is,surface_downwelling_shortwave_flux_in_air,"""comment"" was ""Surface solar irradiance for UV calculations"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Downwelling Shortwave Radiation,landIce,down,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",W m-2,CMIP6 CMOR variable,,,,,
Variable landIce.mon.rlus_tavg-u-hxy-is (LImon.rlusIs),1247,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1247,mon landIce CMIP6 UKESM1 HadGEM3-GC31,rlus_tavg-u-hxy-is,surface_upwelling_longwave_flux_in_air,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Upwelling Longwave Radiation,landIce,up,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",W m-2,CMIP6 CMOR variable,"land_class_mean(m01s03i383[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s03i383[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,W m-2
Variable landIce.mon.rlds_tavg-u-hxy-is (LImon.rldsIs),1246,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1246,mon landIce CMIP6 UKESM1 HadGEM3-GC31,rlds_tavg-u-hxy-is,surface_downwelling_longwave_flux_in_air,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Downwelling radiation is radiation from above. It does not mean 'net downward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Downwelling Longwave Radiation,landIce,down,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",W m-2,CMIP6 CMOR variable,"land_class_mean(m01s03i384[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s03i384[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,W m-2
Variable landIce.mon.prsnIs_tavg-u-hxy-is (LImon.prsnIs),1245,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1245,mon landIce CMIP6,prsnIs_tavg-u-hxy-is,snowfall_flux,"""comment"" was ""at surface; includes precipitation of all forms of water in the solid phase"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Snowfall Flux,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,,,,,
Variable landIce.mon.prra_tavg-u-hxy-is (LImon.prraIs),1244,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1244,mon landIce CMIP6,prra_tavg-u-hxy-is,rainfall_flux,"""comment"" was ""Rainfall rate over the ice sheet"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Rainfall Rate,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,,,,,
Variable landIce.mon.pflw_tavg-u-hxy-lnd (LImon.pflw),1243,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1243,mon landIce CMIP6,pflw_tavg-u-hxy-lnd,liquid_water_content_of_permafrost_layer,"""comment"" was ""*where land over land*, i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,"""where land over land"", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.",longitude latitude time,mon,Liquid Water Content of Permafrost Layer,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",kg m-2,CMIP6 CMOR variable,,,,,
Variable landIce.mon.orog_tavg-u-hxy-is (LImon.orogIs),1242,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1242,mon landIce CMIP6,orog_tavg-u-hxy-is,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Altitude,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",m,CMIP6 CMOR variable,,,,,
Variable landIce.mon.mrro_tavg-u-hxy-is (LImon.mrroIs),1241,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1241,mon landIce CMIP6 UKESM1 HadGEM3-GC31,mrro_tavg-u-hxy-is,runoff_flux,"""comment"" was ""The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Total Runoff,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i583[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s08i583[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,kg m-2 s-1
Variable landIce.mon.lwsnl_tavg-u-hxy-lnd (LImon.lwsnl),1240,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1240,mon landIce CMIP6,lwsnl_tavg-u-hxy-lnd,liquid_water_content_of_surface_snow,"""comment"" was ""The total mass of liquid water contained interstitially within the whole depth of the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,where land over land: this is computed as the total mass of liquid water contained interstitially within the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.,longitude latitude time,mon,Liquid Water Content of Snow Layer,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",kg m-2,CMIP6 CMOR variable,,,,,
